# File Name: /shared/data/ui/current_run/01-15-2025-MX1-IFNa-IFNb-A549-Amel2_20250116_144056.eds
# Comment: 
# Operator: Prem P.
# Barcode: H3N02Y17
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-5
# Instrument Serial Number: 2778721110069
# Heated Cover Serial Number: 2779322062073
# Block Serial Number: 2778322122567
# Run Start Date/Time: 2025-01-16 04:41:55 PM EST
# Run End Date/Time: 2025-01-16 05:32:57 PM EST
# Run Duration: 51 minutes 1 seconds
# Sample Volume: 5.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-01-16 05:33:25 PM EST
# Exported On: 2025-01-16 05:33:26 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"77","D5","false","Sample 4","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3568392293504368","","","28.108896046337954","0.9394824847912552","28.118437632410743","0.14611190938446347","true","12679.83571224284","true","3","20"
"78","D6","false","Sample 4","IFNa2","UNKNOWN","FAM","NFQ-MGB","Amp","2.5684465012558895","","","35.410612593849066","0.8413102925909265","35.410612593849066","","true","18886.582361434972","true","3","30"
"78","D6","false","Sample 4","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.365227357962578","","","28.294745566012587","0.9026571418608313","28.118437632410743","0.14611190938446347","true","12679.83571224284","true","3","19"
"79","D7","false","Sample 4","IFNa2","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","18886.582361434972","true","3","39"
"79","D7","false","Sample 4","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3700869392061765","","","28.16119029815107","0.9700759726206952","28.118437632410743","0.14611190938446347","true","12679.83571224284","true","3","21"
"81","D9","false","Sample 4","IFNb1","UNKNOWN","FAM","NFQ-MGB","Amp","2.631677760396637","","","32.657348883536756","0.949786391595328","34.440966720812455","2.5224165355658643","true","10459.134441064032","true","3","26"
"81","D9","false","Sample 4","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.374884186049863","","","27.844363454134438","0.9714994480469739","28.118437632410743","0.14611190938446347","true","12679.83571224284","true","3","20"
"82","D10","false","Sample 4","IFNb1","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","10459.134441064032","true","3","39"
"82","D10","false","Sample 4","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3848269326591383","","","28.008558229781674","0.925097987350378","28.118437632410743","0.14611190938446347","true","12679.83571224284","true","3","22"
"83","D11","false","Sample 4","IFNb1","UNKNOWN","FAM","NFQ-MGB","Amp","2.2966914984676783","","","36.224584558088154","0.7570175116896919","34.440966720812455","2.5224165355658643","true","10459.134441064032","true","3","29"
